Participant,The suite is easy to understand,The suite is effective for testing the functionality,The test suite satisfactorily covers the functionality,"I would include the test suite in an exploratory testing
session",There is no need to add more test cases to the suite,There is no need to remove test cases from the suite,What positive aspects did you identify in the test suite?,What negative aspects did you identify in the test suite?
Participant 1,totally agree,totally agree,totally agree,totally agree,totally agree,totally disagree,"The test suite presents edge cases, such as attempting to log in without filling in the fields, using special characters, and trying to log in without registration","In my view, there are some unnecessary tests that I would not adopt, such as the test with different network speeds, since I don't see this as a problem that can be resolved or that has any impact on the developed application. I also wouldn't use the copy and paste test, as I don't see the relevance in performing this test"
Participant 2,totally agree,totally agree,totally agree,totally agree,agree,totally agree,"-Comprehensive Coverage
-Well-defined/clear step-by-step instructions and expectations
-Corner cases were considered","You could add a test case about the search functionality: If the application has a search feature (I saw the magnifying glass icon in the image, so I assumed it does), test if it can accurately find notes based on keywords in the front, back, or tags"
Participant 3,totally agree,totally agree,totally agree,totally agree,agree,totally agree,"The test suite is well-structured and covers many scenarios, such as text, image, audio, and tag insertion. It checks boundaries and errors, ensuring the application works correctly under various conditions, such as device rotation and adding multiple tags. Additionally, it tests media format handling and behavior when canceling actions, enhancing the user experience",I don't see any negative points to mention
Participant 4,agree,agree,agree,agree,neither agree or disagree,agree,Simple and objective,"From the images, I could identify several buttons and graphic elements that I did not see being covered in the tests"
Participant 5,totally agree,totally agree,totally agree,disagree,neither agree or disagree,totally agree,I liked the tests focused on connection and consecutive errors. They go beyond what is usually tested but occur frequently in daily scenarios,I did not identify any negative points.
Participant 6,totally agree,totally agree,totally agree,agree,disagree,agree,Important edge cases for the system's effectiveness were tested,"Just a very small issue: It could also test if the HTML form is built correctly. This would allow, for example, that when using a password repository, the login would be suggested automatically"
Participant 7,totally agree,totally agree,totally agree,agree,disagree,agree,Easy to understand. Straight to the point,There is a lack of certainty in the expected results.
Participant 8,totally agree,totally agree,totally agree,totally agree,neither agree or disagree,totally agree,The suite is sufficiently descriptive without being verbose. It is easy to understand what each test aims to verify. The steps are easy to reproduce,"It might be interesting to include some edge test cases, such as adding multiple attachments to a single note."
Participant 9,totally agree,totally agree,totally agree,totally agree,neither agree or disagree,totally agree,"-The idea of showing the application's screens at each step is essential, very good, and greatly helps identify where each element to be used for the test is located.
-Description, Prerequisites, Steps, Expected Results. It is an excellent structure and is very helpful for those conducting the tests, whether exploratory or even automated","These are not negative points, just some observations on the test cases to help constructively:

In Test Case 1 - the expected result ""Expected results: The note is saved successfully and appears in the list of notes."" If any span appears indicating that the note was saved, it would be good to include this in the expected result. This way, it implies that when clicking save note, no user notification will appear and the note will appear in the list of notes. Also, inform if the user would be redirected after saving the card (as was done in the cancelation TC).

In TC 3, there is a test for adding an audio file, I believe the TC for recording audio is missing.

I feel the need to have the same basic card creation tests for the other types (reversed card and optional reversed card), and this could be specified in the TC description or steps, whichever is preferred"
Participant 10,totally agree,totally agree,agree,totally agree,disagree,neither agree or disagree,"The suite addresses a range of important functionalities, from basic operations, such as adding text and images, to more advanced functionalities, such as using tags and media support.
There is a good inclusion of edge cases, such as Test Case 5, which checks the maximum character limit, and Test Case 9, which tests unsupported image formats. Test Case 4, which verifies the behavior when leaving fields empty, and Test Case 9, which tests adding images in unsupported formats, ensure that the application handles user errors well, improving both the experience and reliability. In addition to verifying that the application functions correctly, the tests also cover usability aspects, such as in Test Case 7, which checks data retention and UI adaptation after device rotation","Absence of security tests, such as protection against malicious data input (e.g., script injection). Also, there are no tests aimed at evaluating the application's performance when handling large amounts of data, such as creating many notes or displaying multiple items in the notes list."
Participant 11,totally agree,agree,agree,totally agree,agree,totally agree,"-Well explained;
-Easy to validate;
-Cover good edge cases;
-Many tests for a simple functionality",None
Participant 12,totally agree,totally agree,totally agree,totally agree,agree,agree,"It covers the most common paths a user might take in the functionality.
They are easy to understand","Test cases 1, 2, and 3 cover something in the expected result that is already tested in test case 4, which may be confusing to identify the issue, since if test case 4 fails, the previous ones will always fail as well.

Test cases 7 and 8 leave open what invalid values are for the fields. If someone reads the suite, they may only test with letters and forget to test with negative numbers."
Participant 13,totally agree,totally agree,totally agree,totally agree,disagree,totally agree,"The test cases cover edge cases well, such as error, success, and persistence.",No negative points were identified
